,Contig,Breadth,Depth avg,Depth median,readsGB,expected_value,expected_value_int,err,AE,RAE,std_res
5,NZ_CP053893.1.region002,0.720628209000302,7.491338362671137,2.0,0.02,1.1862525664574275,1.0,0.8137474335425725,0.8137474335425725,0.6859816000000001,0.26623002749828956
6,NZ_CP053893.1.region005,0.6344639612356148,1.6761336515513126,1.0,0.02,1.1862525664574275,1.0,-0.1862525664574275,0.1862525664574275,0.15700919999999996,-0.06093540064847866
7,NC_014328.1.region003,0.6144949884348496,1.6093946047678795,1.0,0.02,1.1862525664574275,1.0,-0.1862525664574275,0.1862525664574275,0.15700919999999996,-0.06093540064847866
8,NZ_CP053893.1.region006,0.7401734104046243,2.0081999219055056,2.0,0.02,1.1862525664574275,1.0,0.8137474335425725,0.8137474335425725,0.6859816000000001,0.26623002749828956
9,NC_014328.1.region001,0.4933891582194799,1.715497990174185,1.0,0.02,1.1862525664574275,1.0,-0.1862525664574275,0.1862525664574275,0.15700919999999996,-0.06093540064847866
10,NC_014328.1.region005,0.691306562919735,1.9748760552056812,2.0,0.02,1.1862525664574275,1.0,0.8137474335425725,0.8137474335425725,0.6859816000000001,0.26623002749828956
11,NZ_LT906470.1.region002,0.6631849739647905,1.811235219890639,2.0,0.02,1.1862525664574275,1.0,0.8137474335425725,0.8137474335425725,0.6859816000000001,0.26623002749828956
12,NZ_LT906470.1.region003,0.6128128587830081,1.675059952038369,1.0,0.02,1.1862525664574275,1.0,-0.1862525664574275,0.1862525664574275,0.15700919999999996,-0.06093540064847866
13,NC_014328.1.region002,0.6168793655795389,1.7459560701515409,1.0,0.02,1.1862525664574275,1.0,-0.1862525664574275,0.1862525664574275,0.15700919999999996,-0.06093540064847866
14,NZ_LT906445.1.region001,0.6093001841620627,1.8478162309203567,2.0,0.02,1.1862525664574275,1.0,0.8137474335425725,0.8137474335425725,0.6859816000000001,0.26623002749828956
15,NZ_CP020566.1.region001,0.6402099350858617,1.6911405148856609,1.0,0.02,1.1862525664574275,1.0,-0.1862525664574275,0.1862525664574275,0.15700919999999996,-0.06093540064847866
0,NC_014328.1.region004,0.9946628070016736,5.154836069301077,5.0,0.09,5.338136549058424,5.0,-0.33813654905842405,0.33813654905842405,0.06334355555555558,-0.11062658884476999
1,NZ_CP053893.1.region001,0.9841844070312138,4.522714420358152,4.0,0.09,5.338136549058424,5.0,-1.338136549058424,1.338136549058424,0.2506748444444445,-0.4377920169915382
2,NZ_LT906470.1.region001,0.984164356510842,4.787891649945979,4.0,0.09,5.338136549058424,5.0,-1.338136549058424,1.338136549058424,0.2506748444444445,-0.4377920169915382
3,NZ_CP053893.1.region004,0.9890294928053884,5.335448588969716,5.0,0.09,5.338136549058424,5.0,-0.33813654905842405,0.33813654905842405,0.06334355555555558,-0.11062658884476999
4,NZ_CP053893.1.region003,0.9834755320192212,4.466969137956824,4.0,0.09,5.338136549058424,5.0,-1.338136549058424,1.338136549058424,0.2506748444444445,-0.4377920169915382
5,NZ_CP053893.1.region002,0.9868619752340684,25.42132109155828,6.0,0.09,5.338136549058424,5.0,0.661863450941576,0.661863450941576,0.1239877333333333,0.21653883930199821
6,NZ_CP053893.1.region005,0.983192004845548,4.32696750346527,4.0,0.09,5.338136549058424,5.0,-1.338136549058424,1.338136549058424,0.2506748444444445,-0.4377920169915382
7,NC_014328.1.region003,0.983471472629144,4.814934587681905,5.0,0.09,5.338136549058424,5.0,-0.33813654905842405,0.33813654905842405,0.06334355555555558,-0.11062658884476999
8,NZ_CP053893.1.region006,0.9794315992292872,5.703978753750062,5.0,0.09,5.338136549058424,5.0,-0.33813654905842405,0.33813654905842405,0.06334355555555558,-0.11062658884476999
9,NC_014328.1.region001,0.9541097399735566,4.333448813441884,4.0,0.09,5.338136549058424,5.0,-1.338136549058424,1.338136549058424,0.2506748444444445,-0.4377920169915382
10,NC_014328.1.region005,0.991014774674633,5.418843763144366,5.0,0.09,5.338136549058424,5.0,-0.33813654905842405,0.33813654905842405,0.06334355555555558,-0.11062658884476999
11,NZ_LT906470.1.region002,0.9930262831638978,5.131527201223509,5.0,0.09,5.338136549058424,5.0,-0.33813654905842405,0.33813654905842405,0.06334355555555558,-0.11062658884476999
12,NZ_LT906470.1.region003,0.9846613088404134,4.618721141737792,4.0,0.09,5.338136549058424,5.0,-1.338136549058424,1.338136549058424,0.2506748444444445,-0.4377920169915382
13,NC_014328.1.region002,0.9832991964707736,4.573145329274155,4.0,0.09,5.338136549058424,5.0,-1.338136549058424,1.338136549058424,0.2506748444444445,-0.4377920169915382
14,NZ_LT906445.1.region001,0.9899171270718232,4.551834798381471,4.0,0.09,5.338136549058424,5.0,-1.338136549058424,1.338136549058424,0.2506748444444445,-0.4377920169915382
15,NZ_CP020566.1.region001,0.9802955665024632,4.607429671723102,4.0,0.09,5.338136549058424,5.0,-1.338136549058424,1.338136549058424,0.2506748444444445,-0.4377920169915382
0,NC_014328.1.region004,0.2708399294404993,1.2199398797595191,1.0,0.007,0.4151883982600996,0.0,0.5848116017399003,0.5848116017399003,1.4085451428571427,0.19133013806843177
1,NZ_CP053893.1.region001,0.2441909002365382,1.2957264957264958,1.0,0.007,0.4151883982600996,0.0,0.5848116017399003,0.5848116017399003,1.4085451428571427,0.19133013806843177
2,NZ_LT906470.1.region001,0.2988645425891467,1.3290978398983482,1.0,0.007,0.4151883982600996,0.0,0.5848116017399003,0.5848116017399003,1.4085451428571427,0.19133013806843177
3,NZ_CP053893.1.region004,0.3307480355138279,1.4074359765504474,1.0,0.007,0.4151883982600996,0.0,0.5848116017399003,0.5848116017399003,1.4085451428571427,0.19133013806843177
4,NZ_CP053893.1.region003,0.2848877120721781,1.1886402753872634,1.0,0.007,0.4151883982600996,0.0,0.5848116017399003,0.5848116017399003,1.4085451428571427,0.19133013806843177
5,NZ_CP053893.1.region002,0.3984697473069566,5.0741536129358265,4.0,0.007,0.4151883982600996,0.0,3.5848116017399003,3.5848116017399003,8.63418057142857,1.1728264225087364
6,NZ_CP053893.1.region005,0.3197456087219866,1.2347508997916272,1.0,0.007,0.4151883982600996,0.0,0.5848116017399003,0.5848116017399003,1.4085451428571427,0.19133013806843177
7,NC_014328.1.region003,0.2864784117193523,1.2768713204373423,1.0,0.007,0.4151883982600996,0.0,0.5848116017399003,0.5848116017399003,1.4085451428571427,0.19133013806843177
8,NZ_CP053893.1.region006,0.3407032755298651,1.2684857910363354,1.0,0.007,0.4151883982600996,0.0,0.5848116017399003,0.5848116017399003,1.4085451428571427,0.19133013806843177
9,NC_014328.1.region001,0.2628360511238431,1.2163068539090338,1.0,0.007,0.4151883982600996,0.0,0.5848116017399003,0.5848116017399003,1.4085451428571427,0.19133013806843177
10,NC_014328.1.region005,0.312167106664814,1.334272997032641,1.0,0.007,0.4151883982600996,0.0,0.5848116017399003,0.5848116017399003,1.4085451428571427,0.19133013806843177
11,NZ_LT906470.1.region002,0.2931440614926853,1.3261788961725522,1.0,0.007,0.4151883982600996,0.0,0.5848116017399003,0.5848116017399003,1.4085451428571427,0.19133013806843177
12,NZ_LT906470.1.region003,0.274121699196326,1.2286815211928297,1.0,0.007,0.4151883982600996,0.0,0.5848116017399003,0.5848116017399003,1.4085451428571427,0.19133013806843177
13,NC_014328.1.region002,0.2844913607478598,1.2577072180173527,1.0,0.007,0.4151883982600996,0.0,0.5848116017399003,0.5848116017399003,1.4085451428571427,0.19133013806843177
14,NZ_LT906445.1.region001,0.3449815837937385,1.4010409715734686,1.0,0.007,0.4151883982600996,0.0,0.5848116017399003,0.5848116017399003,1.4085451428571427,0.19133013806843177
15,NZ_CP020566.1.region001,0.2841489802495281,1.2456254050550877,1.0,0.007,0.4151883982600996,0.0,0.5848116017399003,0.5848116017399003,1.4085451428571427,0.19133013806843177
0,NC_014328.1.region004,0.2452847256773259,1.3147704222754932,1.0,0.006,0.35587576993722825,0.0,0.6441242300627718,0.6441242300627718,1.8099693333333333,0.21073517950819415
1,NZ_CP053893.1.region001,0.2058809888224108,1.134489749943681,1.0,0.006,0.35587576993722825,0.0,0.6441242300627718,0.6441242300627718,1.8099693333333333,0.21073517950819415
2,NZ_LT906470.1.region001,0.2530285193483462,1.3087197958877383,1.0,0.006,0.35587576993722825,0.0,0.6441242300627718,0.6441242300627718,1.8099693333333333,0.21073517950819415
3,NZ_CP053893.1.region004,0.2252780896009797,1.2622876557191394,1.0,0.006,0.35587576993722825,0.0,0.6441242300627718,0.6441242300627718,1.8099693333333333,0.21073517950819415
4,NZ_CP053893.1.region003,0.2919976463665784,1.2083963056255247,1.0,0.006,0.35587576993722825,0.0,0.6441242300627718,0.6441242300627718,1.8099693333333333,0.21073517950819415
5,NZ_CP053893.1.region002,0.3631329910399677,4.441502633767674,4.0,0.006,0.35587576993722825,0.0,3.6441242300627716,3.6441242300627716,10.239877333333334,1.1922314639484988
6,NZ_CP053893.1.region005,0.2387189582071472,1.239454487789407,1.0,0.006,0.35587576993722825,0.0,0.6441242300627718,0.6441242300627718,1.8099693333333333,0.21073517950819415
7,NC_014328.1.region003,0.256216268311488,1.2871920255783336,1.0,0.006,0.35587576993722825,0.0,0.6441242300627718,0.6441242300627718,1.8099693333333333,0.21073517950819415
8,NZ_CP053893.1.region006,0.2854046242774566,1.3772151898734175,1.0,0.006,0.35587576993722825,0.0,0.6441242300627718,0.6441242300627718,1.8099693333333333,0.21073517950819415
9,NC_014328.1.region001,0.2111062141912736,1.1988517745302714,1.0,0.006,0.35587576993722825,0.0,0.6441242300627718,0.6441242300627718,1.8099693333333333,0.21073517950819415
10,NC_014328.1.region005,0.1838265944143393,1.2033257747543462,1.0,0.006,0.35587576993722825,0.0,0.6441242300627718,0.6441242300627718,1.8099693333333333,0.21073517950819415
11,NZ_LT906470.1.region002,0.2284589635507066,1.2775742775742776,1.0,0.006,0.35587576993722825,0.0,0.6441242300627718,0.6441242300627718,1.8099693333333333,0.21073517950819415
12,NZ_LT906470.1.region003,0.197060849598163,1.1733861570729434,1.0,0.006,0.35587576993722825,0.0,0.6441242300627718,0.6441242300627718,1.8099693333333333,0.21073517950819415
13,NC_014328.1.region002,0.1932671603382175,1.122282608695652,1.0,0.006,0.35587576993722825,0.0,0.6441242300627718,0.6441242300627718,1.8099693333333333,0.21073517950819415
14,NZ_LT906445.1.region001,0.2122467771639042,1.2219088937093276,1.0,0.006,0.35587576993722825,0.0,0.6441242300627718,0.6441242300627718,1.8099693333333333,0.21073517950819415
15,NZ_CP020566.1.region001,0.224667372588739,1.157172131147541,1.0,0.006,0.35587576993722825,0.0,0.6441242300627718,0.6441242300627718,1.8099693333333333,0.21073517950819415
